date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:04	115/115	---MCZ	200	added ('OK')	text/plain	etag:%22966-1727931263;gz%22	https://sunwifhatontron.com/robots.txt		(from )
20:24:04	113131/113131	---M-Z	200	added ('OK')	text/html	etag:%22976-1728099331;gz%22	https://sunwifhatontron.com/	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/index.html	(from )
20:24:05	212120/212120	---M-Z	200	added ('OK')	text/css	etag:%2233c98-66c636da-287bd151c724a4ba;gz%22	https://sunwifhatontron.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.4	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/plugins/elementor/assets/css/frontend-lite.mind5d5.css	(from https://sunwifhatontron.com/)
20:24:05	1876/1876	---MCZ	200	added ('OK')	application/rss+xml	etag:%2251f1342df9d9d67b9263e2f88e63c3f3%22	https://sunwifhatontron.com/feed/	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/feed/index.html	(from https://sunwifhatontron.com/)
20:24:06	1642/1642	---MCZ	200	added ('OK')	application/rss+xml	etag:%2251f1342df9d9d67b9263e2f88e63c3f3%22	https://sunwifhatontron.com/comments/feed/	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/comments/feed/index.html	(from https://sunwifhatontron.com/)
20:24:06	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-66c636dd-dccda77238c377ee;gz%22	https://sunwifhatontron.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://sunwifhatontron.com/)
20:24:07	1311/1311	---M-Z	200	added ('OK')	text/css	etag:%2251f-66e0b10e-72103ae0b9375054;gz%22	https://sunwifhatontron.com/wp-content/uploads/elementor/css/post-5.css?ver=1726001422	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/uploads/elementor/css/post-55161.css	(from https://sunwifhatontron.com/)
20:24:07	9475/9475	---M-Z	200	added ('OK')	text/css	etag:%222503-66e0b111-f29f1a0517210227;gz%22	https://sunwifhatontron.com/wp-content/uploads/elementor/css/global.css?ver=1726001425	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/uploads/elementor/css/global65f1.css	(from https://sunwifhatontron.com/)
20:24:08	99408/99408	---M-Z	200	added ('OK')	text/css	etag:%2218450-66e0b114-d32078ad7deaa0a;gz%22	https://sunwifhatontron.com/wp-content/uploads/elementor/css/post-6.css?ver=1726001428	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/uploads/elementor/css/post-68da2.css	(from https://sunwifhatontron.com/)
20:24:08	5501/5501	---M-Z	200	added ('OK')	text/css	etag:%22157d-66c6359c-ac6366c2bf8bb76a;gz%22	https://sunwifhatontron.com/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/themes/hello-elementor/style.minb12b.css	(from https://sunwifhatontron.com/)
20:24:08	5146/5146	---M-Z	200	added ('OK')	text/css	etag:%22141a-66c6359c-fcb9b23f75e6199f;gz%22	https://sunwifhatontron.com/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://sunwifhatontron.com/)
20:24:09	7212/7212	---M-Z	200	added ('OK')	text/css	etag:%221c2c-66c6359c-76a5523d0ca2e9e5;gz%22	https://sunwifhatontron.com/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://sunwifhatontron.com/)
20:24:09	14235/14235	---M-Z	200	added ('OK')	text/css	etag:%22379b-66c636e1-3351d7c65074acd8;gz%22	https://sunwifhatontron.com/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/text-animations.min.css?ver=1.3.982	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/text-animations.minf0d1.css	(from https://sunwifhatontron.com/)
20:24:10	391827/391827	---M-Z	200	added ('OK')	text/css	etag:%225fa93-66c636e1-ed14df5886099a7c;gz%22	https://sunwifhatontron.com/wp-content/plugins/royal-elementor-addons/assets/css/frontend.min.css?ver=1.3.982	C:/My%20Web%20Sites/colon%20website%203/sunwifhatontron.com/wp-content/plugins/royal-elementor-addons/assets/css/frontend.minf0d1.css	(from https://sunwifhatontron.com/)
